stream_id,streamer_name,platform,game_name,category,viewer_count,follower_count,language,start_time,capture_time,stream_title,platform_id,game_id
-NaZIaUU8a4,Snowyislive,YouTube,LIVE  WITH SNOWY ||TAMCODES||#bgmi #shorts #shortsfeed #shortslive#gaming#1v1tdm,,2,2110,,2025-11-23T10:55:14Z,2025-11-23T13:48:10.724972+00:00,LIVE  WITH SNOWY ||TAMCODES||#bgmi #shorts #shortsfeed #shortslive#gaming#1v1tdm,UC1jcoAFVI6fYy9-FODtVW6A,
i_H4aycNcro,NIKHIL GAMING 21,YouTube,aggressive gameplay UPDATES 4.1🔴NIKHIL GAMING LIVE🔥मराठी STREAMER #livestream #newupdate #bgmi,,2,370,,2025-11-23T08:10:57Z,2025-11-23T13:48:10.724972+00:00,aggressive gameplay UPDATES 4.1🔴NIKHIL GAMING LIVE🔥मराठी STREAMER #livestream #newupdate #bgmi,UCjyLHZLkutKZHGoublXlAcA,
JnepiEnCTa4,Muskan Gaming Live,YouTube,Custom Rooms And Chalanges  Games and #Paradiserp PUBG MOBILE Pakistan | Muskan Gaming Live #pubg,,0,48400,,2025-11-23T06:00:34Z,2025-11-23T13:48:10.724972+00:00,Custom Rooms And Chalanges  Games and #Paradiserp PUBG MOBILE Pakistan | Muskan Gaming Live #pubg,UCUHFn-UP7EGnElxCStsDyHw,
JOeMJaL8EH0,A one gamers,YouTube,FREE FIRE LIVE CUSTOM ROOM GIVEAWAY | FF LIVE TEAM CODE GIVEAWAY | FF LIVE GIVEAWAY DJ ALOK |FF LIVE,,1,1220000,,2025-04-10T03:45:44Z,2025-11-23T13:48:10.724972+00:00,FREE FIRE LIVE CUSTOM ROOM GIVEAWAY | FF LIVE TEAM CODE GIVEAWAY | FF LIVE GIVEAWAY DJ ALOK |FF LIVE,UCwMuGiLpWz2TVCTJ66uX7BQ,
UfJiKIO9i8E,Strawple Gaming ,YouTube,PLAGUE TALE INNOCENCE |LIVE| PART-3 | #plaguetale #gaming #live  #survival #stealth,,1,10,,2025-11-23T13:08:57Z,2025-11-23T13:48:10.724972+00:00,PLAGUE TALE INNOCENCE |LIVE| PART-3 | #plaguetale #gaming #live  #survival #stealth,UCsY1v9Ulvd5xOzwRv6IeEhg,
jgAa1STCVSc,KKS CHANNELS ,YouTube,KKS GAMING LIVE CUSTOM ROOM GIVEAWAY 🔥 FREE FIRE TOURNAMENT,,1,673,,2025-11-23T13:01:21Z,2025-11-23T13:48:10.724972+00:00,KKS GAMING LIVE CUSTOM ROOM GIVEAWAY 🔥 FREE FIRE TOURNAMENT,UCon3HQlRiEoxe9sfV9mqkgA,
dv-j0TDDdaE,RTG3 GAMING,YouTube,rtg3 gaming live stream / garena free fire video /  live stream....,,1,1260,,2025-11-23T13:23:59Z,2025-11-23T13:48:10.724972+00:00,rtg3 gaming live stream / garena free fire video /  live stream....,UCayt7nPdhu0vtnJ71IESijg,
RPBssseMh0A,MR.K,YouTube,🔴PROTOTYPE  LIVE 🔴 #3 #kannada #gaming #gameplay #dota2 #dota  #mrkcommentary #games,,2,29,,2025-11-22T15:31:46Z,2025-11-23T13:48:10.724972+00:00,🔴PROTOTYPE  LIVE 🔴 #3 #kannada #gaming #gameplay #dota2 #dota  #mrkcommentary #games,UCU_x3enPc8AF_H0yY0Mgyhw,
OQbw7IwfLGc,Harshad Gaming Live ,YouTube,Harshad Gaming Live  is live!,,0,119,,2025-11-23T13:22:41Z,2025-11-23T13:48:10.724972+00:00,Harshad Gaming Live  is live!,UCewlPgyP8g1goZQkSHBvbDw,
lYSCrxSwwQQ,XERO PLAYS,YouTube,FREE FIRE LIVE CUSTOM ROOM GIVEAWAY | FF LIVE TEAM CODE GIVEAWAY | FF LIVE GIVEAWAY DJ ALOK |FF LIVE,,2,79600,,2025-10-05T06:06:01Z,2025-11-23T13:48:10.724972+00:00,FREE FIRE LIVE CUSTOM ROOM GIVEAWAY | FF LIVE TEAM CODE GIVEAWAY | FF LIVE GIVEAWAY DJ ALOK |FF LIVE,UCEwzj-_iSOK9e1aplN44Uaw,
HGULZdWDAcQ,OM FF,YouTube,free fire free costom giveway stream is back #gaming #live #giveway #support,,0,194,,2025-11-23T12:09:48Z,2025-11-23T13:48:10.724972+00:00,free fire free costom giveway stream is back #gaming #live #giveway #support,UCr_Sv7lrrCJoxKuxp2TkQQg,
li-2FS-2dk4,Nit RXlive,YouTube,🔴Roblox  live Stream W78 Hard Bike Racing #fungaminglive #shorts,,2026,142000,,2025-11-23T12:49:01Z,2025-11-23T13:48:10.724972+00:00,🔴Roblox  live Stream W78 Hard Bike Racing #fungaminglive #shorts,UCHB-ddRvDaTDNcqF4_eygTA,
IQnCaEYzOG0,Pritam on Fire ,YouTube,🔴granny Remake horror 💀 gameplay Pritam on Fire Live Stream,,1394,293000,,2025-11-23T13:21:00Z,2025-11-23T13:48:10.724972+00:00,🔴granny Remake horror 💀 gameplay Pritam on Fire Live Stream,UCrK8wQ-2eIMKtV3gfk7m_kA,
2teCsNWuFT8,Rollingincandy,YouTube,🔴LIVE PVP/Stealin Brainrot #shortslive #stealabrainrot #99nightintheforest,,904,81900,,2025-11-22T14:14:17Z,2025-11-23T13:48:10.724972+00:00,🔴LIVE PVP/Stealin Brainrot #shortslive #stealabrainrot #99nightintheforest,UCkpyoJeLJ43w3Uu0I7F-VYQ,
ZhhTPgroHmY,RAI ICONIC,YouTube,FREE FIRE LIVE CUSTOM ROOM | FF LIVE GIVEAWAY ? 😉 ❤️ #freefirelive #ff #fflive #fflivetournament,,950,373000,,2025-11-23T01:44:40Z,2025-11-23T13:48:10.724972+00:00,FREE FIRE LIVE CUSTOM ROOM | FF LIVE GIVEAWAY ? 😉 ❤️ #freefirelive #ff #fflive #fflivetournament,UCcxJW_gtbra-hqVs-LdaJeA,
Pr4B_TgYk9g,OGRA EXTRA,YouTube,Granny Live Gameplay || Granny 1 Live Gameplay  #live #granny #shortslive #shortsfeed,,638,94700,,2025-11-23T13:02:34Z,2025-11-23T13:48:10.724972+00:00,Granny Live Gameplay || Granny 1 Live Gameplay  #live #granny #shortslive #shortsfeed,UCWkCfR3UXIXKvirDeiYiP6A,
v1ci9tq-93Q,Football Gamer Rony,YouTube,🔴LIVE : Leeds United vs Aaton Villa | English Premier League 2025/26 | PES 21 Simulation Game,,433,692000,,2025-11-23T12:50:14Z,2025-11-23T13:48:10.724972+00:00,🔴LIVE : Leeds United vs Aaton Villa | English Premier League 2025/26 | PES 21 Simulation Game,UCaopyJz-EIXOXYXSMOC6c-g,
bY0Wv_56z74,VIUX YT LIVE ,YouTube,Platform horror game live ❤️ #shortslive #horrorgaming,,344,19000,,2025-11-23T13:07:52Z,2025-11-23T13:48:10.724972+00:00,Platform horror game live ❤️ #shortslive #horrorgaming,UCg-lz1N6QCekkweFtQ8rw-w,
-PiI-fu5Di0,Tyyy,YouTube,🔴LIVE |​ Tyyy - 5 Man RANK GAME,,278,5890,,2025-11-21T16:09:11Z,2025-11-23T13:48:10.724972+00:00,🔴LIVE |​ Tyyy - 5 Man RANK GAME,UCr3erwKe_VMzqqCTdaU7V2A,
-38XGF5Z3o0,OkitA TV,YouTube,One Piece Card Game Regional Edinburgh | Top 32 Live!,,222,813,,2025-11-23T08:39:54Z,2025-11-23T13:48:10.724972+00:00,One Piece Card Game Regional Edinburgh | Top 32 Live!,UCobSOIW2eLAdXt988K92aBg,
